観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),9日の最高気温(℃),9日の最高気温の品質情報,9日の最高気温起時（時）,9日の最高気温起時（分）,9日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（8日まで）,今年の最高気温（8日まで）の品質情報,今年の最高気温（8日まで）を観測した起日（年）,今年の最高気温（8日まで）を観測した起日（月）,今年の最高気温（8日まで）を観測した起日（日）,8日までの観測史上1位の値（℃）,8日までの観測史上1位の値の品質情報,8日までの観測史上1位の値を観測した起日（年）,8日までの観測史上1位の値を観測した起日（月）,8日までの観測史上1位の値を観測した起日（日）,8日までの11月の1位の値,8日までの11月の1位の値の品質情報,8日までの11月の1位の値の起日（年）,8日までの11月の1位の値の起日（月）,8日までの11月の1位の値の起日（日）,統計開始年
13086,北海道留萌地方,遠別（エンベツ）,,2023,11,9,10,0,9.2,4,10,0,4,,,,,,,0,32.8,5,2023,8,24,34.2,8,1979,8,18,18.8,8,2023,11,3,1977
13121,北海道留萌地方,初山別（ショサンベツ）,,2023,11,9,10,0,10.3,4,10,0,4,,,,,,,0,33.4,5,2023,8,31,33.8,8,2021,8,1,19.4,8,2005,11,7,1977
13146,北海道留萌地方,焼尻（ヤギシリ）,,2023,11,9,10,0,11.0,4,7,33,4,,,,,,,0,32.4,5,2023,8,24,32.4,8,2023,8,24,17.8,8,2023,11,3,1977
13181,北海道留萌地方,羽幌（ハボロ）,47404,2023,11,9,10,0,10.7,4,10,0,4,,,,,,,0,34.3,5,2023,8,31,34.4,8,2021,8,1,20.1,8,2005,11,7,1921
13261,北海道留萌地方,達布（タップ）,,2023,11,9,10,0,10.7,4,9,35,4,,,,,,,0,35.4,5,2023,8,23,38.7,8,2021,8,7,20.9,8,2003,11,3,1977
13277,北海道留萌地方,留萌（ルモイ）,47406,2023,11,9,10,0,10.0,4,9,30,4,,,,,,,0,33.7,5,2023,8,24,35.6,8,2021,8,1,21.2,8,2003,11,3,1943
13311,北海道留萌地方,増毛（マシケ）,,2023,11,9,10,0,13.2,4,9,57,4,,,,,,,0,33.4,5,2023,8,31,34.2,8,2021,8,1,22.0,8,2003,11,3,1978
13321,北海道留萌地方,幌糠（ホロヌカ）,,2023,11,9,10,0,8.3,4,9,58,4,,,,,,,0,33.9,5,2023,8,23,35.9,8,2021,8,7,20.5,8,2003,11,3,1977
14026,北海道石狩地方,浜益（ハママス）,,2023,11,9,10,0,11.5,4,9,59,4,,,,,,,0,33.9,5,2023,8,25,34.6,8,1989,8,7,20.9,8,2003,11,3,1977
14071,北海道石狩地方,厚田（アツタ）,,2023,11,9,10,0,11.3,4,9,33,4,,,,,,,0,35.2,5,2023,8,23,36.1,8,2021,7,28,20.8,8,2003,11,3,1977
14101,北海道石狩地方,新篠津（シンシノツ）,,2023,11,9,10,0,9.0,4,9,52,4,,,,,,,0,35.5,5,2023,8,25,35.5,8,2023,8,25,19.6,8,2003,11,2,1978
14116,北海道石狩地方,山口（ヤマグチ）,,2023,11,9,10,0,9.5,4,9,55,4,,,,,,,0,35.1,5,2023,8,23,37.1,8,2021,7,28,23.6,8,2023,11,3,1977
14121,北海道石狩地方,石狩（イシカリ）,,2023,11,9,10,0,9.4,4,9,59,4,,,,,,,0,34.3,5,2023,8,23,35.4,8,2021,7,28,21.8,8,2003,11,3,1990
14136,北海道石狩地方,江別（エベツ）,,2023,11,9,10,0,10.3,4,10,0,4,,,,,,,0,34.7,5,2023,8,25,35.6,8,2021,7,31,19.7,8,2003,11,3,2000
14163,北海道石狩地方,札幌（サッポロ）,47412,2023,11,9,10,0,11.6,4,10,0,4,,,,,,,0,36.3,5,2023,8,23,36.3,8,2023,8,23,22.4,8,2003,11,3,1876
14206,北海道石狩地方,恵庭島松（エニワシママツ）,,2023,11,9,10,0,10.9,4,10,0,4,,,,,,,0,33.3,5,2023,8,25,34.3,8,1999,8,8,20.5,8,2023,11,3,1977
14286,北海道石狩地方,支笏湖畔（シコツコハン）,,2023,11,9,10,0,10.3,4,9,41,4,,,,,,,0,31.2,5,2023,8,25,31.9,8,2007,8,14,19.3,8,2023,11,3,1977
14296,北海道石狩地方,千歳（チトセ）,,2023,11,9,10,0,11.4,4,10,0,4,,,,,,,0,33.4,5,2023,8,12,34.2,8,2011,8,11,20.4,8,2023,11,3,2003
15116,北海道空知地方,石狩沼田（イシカリヌマタ）,,2023,11,9,10,0,6.8,4,10,0,4,,,,,,,0,35.8,5,2023,8,24,36.9,8,2021,8,7,19.4,8,2003,11,3,1976
15156,北海道空知地方,秩父別（チップベツ）,,2023,11,9,10,0,7.0,4,10,0,4,,,,,,,0,35.1,5,2023,8,24,35.1,8,2023,8,24,17.6,8,2023,11,3,2022
15161,北海道空知地方,深川（フカガワ）,,2023,11,9,10,0,6.2,4,10,0,4,,,,,,,0,34.5,5,2023,8,25,36.1,8,2021,8,6,20.9,8,2003,11,3,1977
15231,北海道空知地方,空知吉野（ソラチヨシノ）,,2023,11,9,10,0,7.2,4,10,0,4,,,,,,,0,34.7,5,2023,8,23,36.8,8,2021,8,7,20.1,8,2003,11,3,1978
15241,北海道空知地方,滝川（タキカワ）,,2023,11,9,10,0,6.5,4,10,0,4,,,,,,,0,35.7,5,2023,8,24,36.0,8,2021,7,28,20.0,8,2003,11,3,1976
15251,北海道空知地方,芦別（アシベツ）,,2023,11,9,10,0,8.3,4,10,0,4,,,,,,,0,35.3,5,2023,8,23,37.2,8,2021,7,31,20.9,8,2003,11,3,1978
15311,北海道空知地方,月形（ツキガタ）,,2023,11,9,10,0,9.7,4,10,0,4,,,,,,,0,36.0,5,2023,8,23,36.3,8,2021,7,31,19.5,8,2003,11,2,1977
15321,北海道空知地方,美唄（ビバイ）,,2023,11,9,10,0,8.0,4,10,0,4,,,,,,,0,35.0,5,2023,8,24,35.6,8,2021,8,6,20.0,8,2003,11,3,1977
15356,北海道空知地方,岩見沢（イワミザワ）,47413,2023,11,9,10,0,10.6,4,10,0,4,,,,,,,0,35.7,5,2023,8,25,35.7,8,2023,8,25,20.5,8,2023,11,3,1946
15431,北海道空知地方,長沼（ナガヌマ）,,2023,11,9,10,0,11.7,4,9,59,4,,,,,,,0,35.2,5,2023,8,24,35.2,8,2023,8,24,20.5,8,2023,11,3,1977
15442,北海道空知地方,夕張（ユウバリ）,,2023,11,9,10,0,9.0,4,9,45,4,,,,,,,0,34.2,5,2023,8,24,35.0,8,2021,7,28,19.0,8,2003,11,3,1976
16026,北海道後志地方,美国（ビクニ）,,2023,11,9,10,0,12.1,4,10,0,4,,,,,,,0,35.2,5,2023,8,31,35.2,8,2023,8,31,20.8,8,2023,11,3,1977
16061,北海道後志地方,神恵内（カモエナイ）,,2023,11,9,10,0,12.4,4,9,43,4,,,,,,,0,33.1,5,2023,8,24,33.5,8,2021,7,28,19.6,8,2003,11,3,1977
16076,北海道後志地方,余市（ヨイチ）,,2023,11,9,10,0,12.0,4,10,0,4,,,,,,,0,34.4,5,2023,8,24,34.9,8,1984,8,16,21.0,8,2003,11,3,1977
16091,北海道後志地方,小樽（オタル）,47411,2023,11,9,10,0,10.3,4,9,58,4,,,,,,,0,34.9,5,2023,8,31,36.2,8,2021,7,28,21.8,8,2003,11,3,1943
16156,北海道後志地方,共和（キョウワ）,,2023,11,9,10,0,11.8,4,10,0,4,,,,,,,0,35.0,5,2023,8,10,35.0,8,2023,8,10,21.7,8,2023,11,3,1977
16206,北海道後志地方,蘭越（ランコシ）,,2023,11,9,10,0,10.5,4,9,57,4,,,,,,,0,35.4,5,2023,8,23,35.4,8,2023,8,23,22.0,8,2023,11,3,1977
16217,北海道後志地方,倶知安（クッチャン）,47433,2023,11,9,10,0,10.8,4,10,0,4,,,,,,,0,34.6,5,2023,8,23,34.6,8,2023,8,23,20.0,8,2023,11,3,1944
16252,北海道後志地方,寿都（スッツ）,47421,2023,11,9,10,0,11.6,4,9,59,4,,,,,,,0,33.2,5,2023,8,23,34.0,8,1904,8,20,22.5,8,2023,11,3,1884
16281,北海道後志地方,真狩（マッカリ）,,2023,11,9,10,0,8.5,4,9,27,4,,,,,,,0,32.0,5,2023,8,23,32.3,8,2021,7,27,18.2,8,2023,11,3,1978
16286,北海道後志地方,喜茂別（キモベツ）,,2023,11,9,10,0,9.5,4,10,0,4,,,,,,,0,34.5,5,2023,8,25,34.5,8,2023,8,25,19.3,8,2023,11,3,1977
16321,北海道後志地方,黒松内（クロマツナイ）,,2023,11,9,10,0,10.6,4,10,0,4,,,,,,,0,33.7,5,2023,7,29,34.5,8,2021,7,18,21.9,8,2023,11,3,1977
17036,北海道網走・北見・紋別地方,雄武（オウム）,47405,2023,11,9,10,0,11.6,4,9,44,4,,,,,,,0,35.3,5,2023,8,17,35.3,8,2023,8,17,21.5,8,2023,11,3,1942
17076,北海道網走・北見・紋別地方,興部（オコッペ）,,2023,11,9,10,0,10.8,4,9,59,4,,,,,,,0,34.1,5,2023,8,26,34.3,8,1999,8,9,21.8,8,2003,11,3,1977
17091,北海道網走・北見・紋別地方,西興部（ニシオコッペ）,,2023,11,9,10,0,10.2,4,10,0,4,,,,,,,0,34.9,5,2023,8,23,36.4,8,1978,8,3,21.2,8,2003,11,3,1977
17112,北海道網走・北見・紋別地方,紋別（モンベツ）,47435,2023,11,9,10,0,11.1,4,10,0,4,,,,,,,0,33.8,5,2023,7,28,37.0,8,2019,5,26,22.5,8,2023,11,3,1956
17116,北海道網走・北見・紋別地方,紋別小向（モンベツコムカイ）,,2023,11,9,10,0,11.4,4,9,57,4,,,,,,,0,33.3,5,2023,7,28,37.2,8,2019,5,26,22.7,8,2023,11,3,2003
17166,北海道網走・北見・紋別地方,湧別（ユウベツ）,,2023,11,9,10,0,11.0,4,9,58,4,,,,,,,0,34.6,5,2023,8,2,38.5,8,2019,5,26,22.3,8,2003,11,3,1977
17196,北海道網走・北見・紋別地方,滝上（タキノウエ）,,2023,11,9,10,0,9.5,4,10,0,4,,,,,,,0,36.2,5,2023,8,24,37.7,8,1978,8,3,22.1,8,2003,11,3,1977
17246,北海道網走・北見・紋別地方,常呂（トコロ）,,2023,11,9,10,0,10.0,4,9,52,4,,,,,,,0,36.8,5,2023,8,26,36.9,8,1994,8,7,20.9,8,2003,11,3,1977
17306,北海道網走・北見・紋別地方,遠軽（エンガル）,,2023,11,9,10,0,9.6,4,9,59,4,,,,,,,0,35.6,5,2023,8,23,37.7,8,2019,5,26,22.8,8,2003,11,3,1977
17316,北海道網走・北見・紋別地方,佐呂間（サロマ）,,2023,11,9,10,0,11.2,4,9,55,4,,,,,,,0,35.5,5,2023,8,23,39.5,8,2019,5,26,22.0,8,2003,11,3,1977
17341,北海道網走・北見・紋別地方,網走（アバシリ）,47409,2023,11,9,10,0,11.1,4,9,46,4,,,,,,,0,36.7,5,2023,8,26,37.6,8,1994,8,7,21.7,8,1979,11,5,1889
17351,北海道網走・北見・紋別地方,宇登呂（ウトロ）,,2023,11,9,10,0,9.8,4,9,46,4,,,,,,,0,34.7,5,2023,8,26,35.3,8,2020,8,11,22.8,8,2023,11,6,1978
17482,北海道網走・北見・紋別地方,白滝（シラタキ）,,2023,11,9,10,0,5.8,4,9,52,4,,,,,,,0,33.3,5,2023,8,24,34.0,8,2017,7,15,20.7,8,2023,11,3,1993
17501,北海道網走・北見・紋別地方,生田原（イクタハラ）,,2023,11,9,10,0,10.3,4,9,53,4,,,,,,,0,35.5,5,2023,8,23,37.0,8,2019,5,26,22.7,8,2015,11,4,1977
17521,北海道網走・北見・紋別地方,北見（キタミ）,,2023,11,9,10,0,9.1,4,9,54,4,,,,,,,0,37.1,5,2023,8,24,38.1,8,2019,5,26,22.0,8,1979,11,5,1976
17531,北海道網走・北見・紋別地方,女満別（メマンベツ）,,2023,11,9,10,0,10.5,4,9,31,4,,,,,,,0,36.7,5,2023,8,26,37.7,8,2019,5,26,20.9,8,2003,11,3,2003
17546,北海道網走・北見・紋別地方,小清水（コシミズ）,,2023,11,9,10,0,10.9,4,9,42,4,,,,,,,0,35.3,5,2023,8,24,36.7,8,2019,5,26,21.7,8,1979,11,5,1977
17561,北海道網走・北見・紋別地方,斜里（シャリ）,,2023,11,9,10,0,11.1,4,10,0,4,,,,,,,0,37.1,5,2023,8,26,37.1,8,2023,8,26,21.5,8,1979,11,5,1977
17596,北海道網走・北見・紋別地方,留辺蘂（ルベシベ）,,2023,11,9,10,0,9.1,4,10,0,4,,,,,,,0,35.0,5,2023,8,26,36.4,8,2019,5,26,21.1,8,2003,11,3,1978
17607,北海道網走・北見・紋別地方,境野（サカイノ）,,2023,11,9,10,0,8.5,4,10,0,4,,,,,,,0,35.7,5,2023,8,24,37.4,8,2021,7,18,21.3,8,1979,11,5,1977
17631,北海道網走・北見・紋別地方,美幌（ビホロ）,,2023,11,9,10,0,10.0,4,10,0,4,,,,,,,0,36.3,5,2023,8,24,37.4,8,2019,5,26,21.0,8,1979,11,5,1977
17717,北海道網走・北見・紋別地方,津別（ツベツ）,,2023,11,9,10,0,9.4,4,10,0,4,,,,,,,0,36.8,5,2023,8,24,38.0,8,2019,5,26,20.8,8,2015,11,5,1988
18038,北海道根室地方,羅臼（ラウス）,,2023,11,9,10,0,9.8,4,9,23,4,,,,,,,0,31.2,5,2023,8,24,32.6,8,2022,6,26,19.2,8,2020,11,7,2005
18136,北海道根室地方,標津（シベツ）,,2023,11,9,10,0,10.7,4,10,0,4,,,,,,,0,34.1,5,2023,8,4,35.0,8,2010,8,6,19.1,8,2023,11,7,1977
18161,北海道根室地方,上標津（カミシベツ）,,2023,11,9,10,0,9.2,4,10,0,4,,,,,,,0,33.9,5,2023,7,28,35.2,8,2019,5,26,19.3,8,2018,11,4,2003
18171,北海道根室地方,中標津（ナカシベツ）,,2023,11,9,10,0,10.9,4,9,49,4,,,,,,,0,33.7,5,2023,7,25,36.5,8,2019,5,26,19.6,8,2018,11,4,1977
18174,北海道根室地方,根室中標津（ネムロナカシベツ）,,2023,11,9,10,0,10.8,4,9,50,4,,,,,,,0,33.6,5,2023,7,29,36.8,8,2019,5,26,20.2,8,2018,11,4,2003
18256,北海道根室地方,別海（ベツカイ）,,2023,11,9,10,0,12.3,4,9,55,4,,,,,,,0,34.3,5,2023,7,29,36.6,8,2019,5,26,21.0,8,2015,11,5,1977
18273,北海道根室地方,根室（ネムロ）,47420,2023,11,9,10,0,11.2,4,9,42,4,,,,,,,0,33.1,5,2023,7,30,34.0,8,2019,5,26,19.2,8,1979,11,5,1879
18281,北海道根室地方,納沙布（ノサップ）,,2023,11,9,10,0,11.3,4,9,48,4,,,,,,,0,33.3,5,2023,7,30,33.5,8,2020,8,11,17.9,8,1979,11,5,1977
18311,北海道根室地方,厚床（アットコ）,,2023,11,9,10,0,11.1,4,9,15,4,,,,,,,0,33.3,5,2023,7,30,34.9,8,2015,8,5,20.0,8,2015,11,5,1977
19021,北海道釧路地方,川湯（カワユ）,,2023,11,9,10,0,8.9,4,9,36,4,,,,,,,0,33.8,5,2023,8,25,36.0,8,2019,5,26,19.3,8,2015,11,5,1977
19051,北海道釧路地方,弟子屈（テシカガ）,,2023,11,9,10,0,8.0,4,9,58,4,,,,,,,0,32.7,5,2023,8,25,35.7,8,2019,5,26,19.1,8,2018,11,4,1977
19076,北海道釧路地方,阿寒湖畔（アカンコハン）,,2023,11,9,10,0,5.9,4,10,0,4,,,,,,,0,32.7,5,2023,7,26,35.5,8,2019,5,26,19.0,8,2015,11,5,1977
19151,北海道釧路地方,標茶（シベチャ）,,2023,11,9,10,0,11.6,4,9,53,4,,,,,,,0,35.1,5,2023,8,25,35.1,8,2023,8,25,21.0,8,2015,11,5,1977
19191,北海道釧路地方,鶴居（ツルイ）,,2023,11,9,10,0,8.0,4,10,0,4,,,,,,,0,33.4,5,2023,7,25,35.1,8,2010,8,7,21.0,8,2018,11,4,1977
